Symbol,EarningsPerShare,PriceEarningsRatio,DebtEquityRatio,ReturnOnEquity,QuickRatio,WorkingCapitalRatio
DVD,0.188,9.8947,0.0,0.1095,1.0198,1.374
DXF,0.0065,77.1552,0.546,0.0178,2.1217,2.1512
DYNT,-0.4325,0.0,0.4656,-0.075,0.6554,1.4687
DYSL,0.1016,12.9,0.1623,0.0837,1.1363,2.8596
DZSI,0.1669,81.8235,0.4112,0.0358,1.2765,1.8054
EAST,-1.2372,0.0,0.2791,-0.4825,4.9343,9.9004
EEI,-0.0714,0.0,0.003,-0.0086,2.487,2.6696
EFBI,0.2116,65.9565,0.0,0.0124,0.1669,0.1567
EFOI,-0.7546,0.0,0.2008,-0.8244,1.179,2.4431
ELLO,0.099,78.2,1.4957,0.0135,2.9735,2.9653
ELMD,0.2209,24.5455,0.0487,0.0811,4.0112,4.8483
ELTK,-1.2852,0.0,10.8639,-2.9558,0.4675,0.6829
ELVT,0.2896,15.4483,4.8171,0.1071,2.1653,14.734
EMCF,1.5314,17.5376,0.4062,0.0526,0.0225,0.0383
EMITF,-56.3425,0.0,-7.4731,13.0453,0.2909,0.2909
EMMS,6.4319,0.6271,2.9188,1.726,0.8169,1.8287
EMX,0.7789,1.9557,0.0,0.5725,15.0024,15.0075
ENG,-0.2061,0.0,0.0,-0.3661,2.3868,3.0133
ENSV,-0.1079,0.0,8.7012,-1.2744,1.4742,1.8156
EPIX,-7.9927,0.0,0.6902,-1.2707,4.5832,4.6636
EQS,0.0038,0.0,0.6203,0.0012,2.2876,1.3046
ERYP,-2.1309,0.0,0.0139,-0.2625,6.5092,7.2601
ESBA,2.7199,36.3077,0.8382,0.0589,4.918,3.0786
ESCA,1.4157,8.0634,0.0,0.1593,2.6047,5.2603
ESEA,-0.1281,0.0,9.5761,-0.3781,1.3976,1.0346
ESQ,1.173,18.3898,0.001,0.0941,0.0535,0.0603
ESTR,-12.7524,0.0,-1.4647,0.5995,0.3214,0.403
EVFM,-4.8624,0.0,-0.1717,5.3824,0.0644,0.0907
EVGN,-0.8061,0.0,0.0,-0.4147,10.2169,10.2169
EVK,0.8115,4.9259,0.2572,0.1047,0.9627,1.5773
EVOK,-0.4341,0.0,0.0,-1.8796,3.2543,3.4557
EXFO,-0.224,0.0,0.1097,-0.0689,1.5296,0.158
EYEG,-3.7329,0.0,0.0,-1.2098,2.0829,2.194
EYEN,-1.7101,0.0,0.0,-1.0224,6.3663,6.4092
FAMI,0.2263,18.1034,0.1143,0.1757,8.9996,9.6042
FAT,-0.0002,0.0,2.6834,-0.0003,0.6524,0.1282
FCAP,2.757,15.2806,0.0,0.1078,0.0802,0.0817
FCRE,-0.8383,0.0,-0.1752,0.1791,0.001,0.0195
FDBC,2.9276,21.9044,0.3425,0.1176,0.0202,0.033
FEIM,-2.7237,0.0,0.0,-0.3758,4.4474,9.9058
FFBW,0.16,59.0,0.4225,0.0175,0.0311,0.039
FFHL,-6.7891,0.0,0.5738,-0.1126,0.2988,0.4001
FLGT,-0.3103,0.0,0.0,-0.1096,13.5069,14.4423
FNCB,0.7936,10.6835,0.1029,0.1373,0.0331,0.0397
FORD,0.1447,10.3333,0.2068,0.1243,1.7568,1.9952
FORK,0.6251,6.3115,0.4635,0.1525,0.7277,1.2533
FORTY,2.1959,16.2,1.0375,0.088,1.4014,1.4857
FPAY,-0.6762,0.0,3.5428,-1.114,0.4793,1.7309
FRD,0.5613,10.3929,0.0,0.0574,1.9501,6.0984
FSBC,0.0695,242.8571,1.8429,0.0043,0.0255,0.0376
FSBW,6.5152,6.5167,0.8178,0.1352,0.0551,0.0809
FSFG,4.7565,14.0787,1.265,0.1103,0.0564,0.0975
FSI,0.2141,6.4286,0.4777,0.146,2.0117,3.4742
